Model,Accuracy,Precision,Recall,F1 Score,Cross Validation
XGBoost,0.9784688995215312,0.9787254537248256,0.9784688995215312,0.9783904913372327,0.9802269335203467
Random Forest,0.9784688995215312,0.9792530002591828,0.9784688995215312,0.9784920178287119,0.9796335257413101
Decision Tree,0.9736842105263158,0.9743752075654857,0.9736842105263158,0.9735352416272627,0.9664526802251352
Logistic Regression,0.9043062200956937,0.905423092929708,0.9043062200956937,0.9039383701163254,0.8987556418694143
